fid,Src,Dest,Heading,Parent_Layer,Steps,Sheltered,Distance,Time_Cost,geometry_type,coordinates
1,AS1-Level2-West-Entrance,AS1-Level2-Stair2-Entrance,N,AS1_L2_ROOMS,0,T,12,9,LineString,"[[11551827.608584825, 144170.32457262216], [11551822.785501571, 144181.04253543212]]"
1,AS1-Level2-Stair2-Entrance,AS1-Level2-West-Entrance,S,AS1_L2_ROOMS,0,T,12,9,LineString,"[[11551822.785501571, 144181.04253543212], [11551827.608584825, 144170.32457262216]]"
2,AS1-Level2-Stair2-Entrance,AS1-Level2-Stair2,W,AS1_L2_ROOMS,0,T,5,4,LineString,"[[11551822.785501571, 144181.04253543212], [11551818.605496064, 144179.00612249825]]"
2,AS1-Level2-Stair2,AS1-Level2-Stair2-Entrance,E,AS1_L2_ROOMS,0,T,5,4,LineString,"[[11551818.605496064, 144179.00612249825], [11551822.785501571, 144181.04253543212]]"
3,AS1-Level2-Stair2-Entrance,AS1-Level2-FemaleToilet,E,AS1_L2_ROOMS,0,T,5,4,LineString,"[[11551822.785501571, 144181.04253543212], [11551826.911917241, 144182.97176873795]]"
3,AS1-Level2-FemaleToilet,AS1-Level2-Stair2-Entrance,W,AS1_L2_ROOMS,0,T,5,4,LineString,"[[11551826.911917241, 144182.97176873795], [11551822.785501571, 144181.04253543212]]"
4,AS1-Level2-West-Entrance,AS1-0213-Entrance,E,AS1_L2_ROOMS,0,T,12,9,LineString,"[[11551827.608584825, 144170.32457262216], [11551838.80885596, 144175.73714384122]]"
4,AS1-0213-Entrance,AS1-Level2-West-Entrance,W,AS1_L2_ROOMS,0,T,12,9,LineString,"[[11551838.80885596, 144175.73714384122], [11551827.608584825, 144170.32457262216]]"
5,AS1-0213-Entrance,AS1-0212-Entrance,E,AS1_L2_ROOMS,0,T,6,4,LineString,"[[11551838.80885596, 144175.73714384122], [11551844.275016993, 144178.41663454377]]"
5,AS1-0212-Entrance,AS1-0213-Entrance,W,AS1_L2_ROOMS,0,T,6,4,LineString,"[[11551844.275016993, 144178.41663454377], [11551838.80885596, 144175.73714384122]]"
6,AS1-0212-Entrance,AS1-0211-Entrance,E,AS1_L2_ROOMS,0,T,8,6,LineString,"[[11551844.275016993, 144178.41663454377], [11551851.188103005, 144181.7927928289]]"
6,AS1-0211-Entrance,AS1-0212-Entrance,W,AS1_L2_ROOMS,0,T,8,6,LineString,"[[11551851.188103005, 144181.7927928289], [11551844.275016993, 144178.41663454377]]"
7,AS1-0211-Entrance,AS1-0210-Entrance,E,AS1_L2_ROOMS,0,T,8,6,LineString,"[[11551851.188103005, 144181.7927928289], [11551858.744266786, 144185.32972055618]]"
7,AS1-0210-Entrance,AS1-0211-Entrance,W,AS1_L2_ROOMS,0,T,8,6,LineString,"[[11551858.744266786, 144185.32972055618], [11551851.188103005, 144181.7927928289]]"
8,AS1-0210-Entrance,AS1-0209-Entrance,E,AS1_L2_ROOMS,0,T,8,6,LineString,"[[11551858.744266786, 144185.32972055618], [11551866.300430566, 144188.92023809752]]"
8,AS1-0209-Entrance,AS1-0210-Entrance,W,AS1_L2_ROOMS,0,T,8,6,LineString,"[[11551866.300430566, 144188.92023809752], [11551858.744266786, 144185.32972055618]]"
9,AS1-0209-Entrance,AS1-0208-Entrance,E,AS1_L2_ROOMS,0,T,7,5,LineString,"[[11551866.300430566, 144188.92023809752], [11551872.624028623, 144192.02844731242]]"
9,AS1-0208-Entrance,AS1-0209-Entrance,W,AS1_L2_ROOMS,0,T,7,5,LineString,"[[11551872.624028623, 144192.02844731242], [11551866.300430566, 144188.92023809752]]"
10,AS1-0208-Entrance,AS1-0207-Entrance,E,AS1_L2_ROOMS,0,T,7,5,LineString,"[[11551872.624028623, 144192.02844731242], [11551878.572497983, 144194.97588708517]]"
10,AS1-0207-Entrance,AS1-0208-Entrance,W,AS1_L2_ROOMS,0,T,7,5,LineString,"[[11551878.572497983, 144194.97588708517], [11551872.624028623, 144192.02844731242]]"
11,AS1-0207-Entrance,AS1-Level2-Corridor,S,AS1_L2_ROOMS,0,T,4,3,LineString,"[[11551878.572497983, 144194.97588708517], [11551880.608910915, 144191.43895935785]]"
11,AS1-Level2-Corridor,AS1-0207-Entrance,N,AS1_L2_ROOMS,0,T,4,3,LineString,"[[11551880.608910915, 144191.43895935785], [11551878.572497983, 144194.97588708517]]"
12,AS1-Level2-Corridor,AS1-0205-Entrance,N,AS1_L2_ROOMS,0,T,14,10,LineString,"[[11551880.608910915, 144191.43895935785], [11551886.610970085, 144196.4228120645], [11551888.540203393, 144202.63923049427]]"
12,AS1-0205-Entrance,AS1-Level2-Corridor,S,AS1_L2_ROOMS,0,T,14,10,LineString,"[[11551888.540203393, 144202.63923049427], [11551886.610970085, 144196.4228120645], [11551880.608910915, 144191.43895935785]]"
13,AS1-0205-Entrance,AS1-0204-Entrance,N,AS1_L2_ROOMS,0,T,7,5,LineString,"[[11551888.540203393, 144202.63923049427], [11551891.11251447, 144209.7130859489]]"
13,AS1-0204-Entrance,AS1-0205-Entrance,S,AS1_L2_ROOMS,0,T,7,5,LineString,"[[11551891.11251447, 144209.7130859489], [11551888.540203393, 144202.63923049427]]"
14,AS1-0204-Entrance,AS1-0203-Entrance,N,AS1_L2_ROOMS,0,T,9,7,LineString,"[[11551891.11251447, 144209.7130859489], [11551894.167133868, 144218.1266867547]]"
14,AS1-0203-Entrance,AS1-0204-Entrance,S,AS1_L2_ROOMS,0,T,9,7,LineString,"[[11551894.167133868, 144218.1266867547], [11551891.11251447, 144209.7130859489]]"
15,AS1-0203-Entrance,AS1-0201-Entrance,N,AS1_L2_ROOMS,0,T,15,11,LineString,"[[11551894.167133868, 144218.1266867547], [11551899.445730552, 144232.2208078498]]"
15,AS1-0201-Entrance,AS1-0203-Entrance,S,AS1_L2_ROOMS,0,T,15,11,LineString,"[[11551899.445730552, 144232.2208078498], [11551894.167133868, 144218.1266867547]]"
16,AS1-0201-Entrance,AS1-Level2-Stair1,E,AS1_L2_ROOMS,0,T,4,3,LineString,"[[11551899.445730552, 144232.2208078498], [11551903.51039346, 144232.79654402833]]"
16,AS1-Level2-Stair1,AS1-0201-Entrance,W,AS1_L2_ROOMS,0,T,4,3,LineString,"[[11551903.51039346, 144232.79654402833], [11551899.445730552, 144232.2208078498]]"
17,AS1-0201-Entrance,AS1-Level2-MaleToilet,E,AS1_L2_ROOMS,0,T,3,2,LineString,"[[11551899.445730552, 144232.2208078498], [11551902.580734674, 144231.09542175476]]"
17,AS1-Level2-MaleToilet,AS1-0201-Entrance,W,AS1_L2_ROOMS,0,T,3,2,LineString,"[[11551902.580734674, 144231.09542175476], [11551899.445730552, 144232.2208078498]]"
18,AS1-0213-Entrance,AS1-0213,N,AS1_L2_ROOMS,0,T,3,2,LineString,"[[11551838.80885596, 144175.73714384122], [11551837.361930978, 144178.5238141719]]"
18,AS1-0213,AS1-0213-Entrance,S,AS1_L2_ROOMS,0,T,3,2,LineString,"[[11551837.361930978, 144178.5238141719], [11551838.80885596, 144175.73714384122]]"
19,AS1-0212-Entrance,AS1-0212,N,AS1_L2_ROOMS,0,T,3,2,LineString,"[[11551844.275016993, 144178.41663454377], [11551842.96206654, 144180.98894561816]]"
19,AS1-0212,AS1-0212-Entrance,S,AS1_L2_ROOMS,0,T,3,2,LineString,"[[11551842.96206654, 144180.98894561816], [11551844.275016993, 144178.41663454377]]"
20,AS1-0211-Entrance,AS1-0211,N,AS1_L2_ROOMS,0,T,3,2,LineString,"[[11551851.188103005, 144181.7927928289], [11551849.875152554, 144184.3651039033]]"
20,AS1-0211,AS1-0211-Entrance,S,AS1_L2_ROOMS,0,T,3,2,LineString,"[[11551849.875152554, 144184.3651039033], [11551851.188103005, 144181.7927928289]]"
21,AS1-0211-Entrance,AS1-Level2-Side-Entrance,S,AS1_L2_ROOMS,0,T,4,3,LineString,"[[11551851.188103005, 144181.7927928289], [11551852.835989783, 144178.56400653237]]"
21,AS1-Level2-Side-Entrance,AS1-0211-Entrance,N,AS1_L2_ROOMS,0,T,4,3,LineString,"[[11551852.835989783, 144178.56400653237], [11551851.188103005, 144181.7927928289]]"
22,AS1-0210-Entrance,AS1-0210,N,AS1_L2_ROOMS,0,T,3,2,LineString,"[[11551858.744266786, 144185.32972055618], [11551857.324136708, 144187.95562144462]]"
