Name,Parent_Layer,Group
Busstop-Opp HSSML,,Busstop
Busstop-BIZ2,,Busstop
Busstop-COM3,,Busstop
Busstop-Opp NUSS,,Busstop
Busstop-AS 5,,Busstop
Busstop-LT 13,,Busstop
Busstop-CLB,,Busstop
Busstop-IT,,Busstop
Busstop-S 17,,Busstop
Busstop-LT 27,,Busstop
Busstop-UHall,,Busstop
AS1-0201,AS1_L2_ROOMS,AS1 Level 2
AS1-0203,AS1_L2_ROOMS,AS1 Level 2
AS1-0205,AS1_L2_ROOMS,AS1 Level 2
AS1-0207,AS1_L2_ROOMS,AS1 Level 2
AS1-0208,AS1_L2_ROOMS,AS1 Level 2
AS1-0209,AS1_L2_ROOMS,AS1 Level 2
AS1-0210,AS1_L2_ROOMS,AS1 Level 2
AS1-0211,AS1_L2_ROOMS,AS1 Level 2
AS1-0212,AS1_L2_ROOMS,AS1 Level 2
AS1-0213,AS1_L2_ROOMS,AS1 Level 2
AS1-0301,AS1_L3_ROOMS,AS1 Level 3
AS1-0302,AS1_L3_ROOMS,AS1 Level 3
AS1-0303,AS1_L3_ROOMS,AS1 Level 3
AS1-0304,AS1_L3_ROOMS,AS1 Level 3
AS2-0201,AS2_L2_ROOMS,AS2 Level 2
AS2-0203,AS2_L2_ROOMS,AS2 Level 2
AS2-0204,AS2_L2_ROOMS,AS2 Level 2
AS2-0302,AS2_L3_ROOMS,AS2 Level 3
AS2-0311,AS2_L3_ROOMS,AS2 Level 3
AS2-0312,AS2_L3_ROOMS,AS2 Level 3
AS2-0313,AS2_L3_ROOMS,AS2 Level 3
AS2-0413,AS2_L4_ROOMS,AS2 Level 4
AS2-0509,AS2_L5_ROOMS,AS2 Level 5
AS2-0510,AS2_L5_ROOMS,AS2 Level 5
AS3-0208,AS3_L2_ROOMS,AS3 Level 2
AS3-0209,AS3_L2_ROOMS,AS3 Level 2
AS3-0212,AS3_L2_ROOMS,AS3 Level 2
AS3-0213,AS3_L2_ROOMS,AS3 Level 2
AS3-0214,AS3_L2_ROOMS,AS3 Level 2
AS3-0215,AS3_L2_ROOMS,AS3 Level 2
AS3-0302,AS3_L3_ROOMS,AS3 Level 3
AS3-0303,AS3_L3_ROOMS,AS3 Level 3
AS3-0304,AS3_L3_ROOMS,AS3 Level 3
AS3-0305,AS3_L3_ROOMS,AS3 Level 3
AS3-0306,AS3_L3_ROOMS,AS3 Level 3
AS3-0307,AS3_L3_ROOMS,AS3 Level 3
AS3-0308,AS3_L3_ROOMS,AS3 Level 3
AS3-0309,AS3_L3_ROOMS,AS3 Level 3
AS3-0312,AS3_L3_ROOMS,AS3 Level 3
AS3-0314,AS3_L3_ROOMS,AS3 Level 3
AS3-0316,AS3_L3_ROOMS,AS3 Level 3
AS3-0523,AS3_L5_ROOMS,AS3 Level 5
AS4-0109,AS4_L1_ROOMS,AS4 Level 1
AS4-0110,AS4_L1_ROOMS,AS4 Level 1
AS4-0114,AS4_L1_ROOMS,AS4 Level 1
AS4-0115,AS4_L1_ROOMS,AS4 Level 1
AS4-0116,AS4_L1_ROOMS,AS4 Level 1
AS4-0117,AS4_L1_ROOMS,AS4 Level 1
AS4-0118,AS4_L1_ROOMS,AS4 Level 1
AS4-0119,AS4_L1_ROOMS,AS4 Level 1
AS4-0206,AS4_L2_ROOMS,AS4 Level 2
AS4-0328,AS4_L3_ROOMS,AS4 Level 3
AS4-0335,AS4_L3_ROOMS,AS4 Level 3
AS4-0601,AS4_L6_ROOMS,AS4 Level 6
AS4-0602,AS4_L6_ROOMS,AS4 Level 6
AS4-0603,AS4_L6_ROOMS,AS4 Level 6
AS4-0604,AS4_L6_ROOMS,AS4 Level 6
AS4-B107,AS4_B1_ROOMS,AS4 Basement 1
AS4-B109,AS4_B1_ROOMS,AS4 Basement 1
AS4-B110,AS4_B1_ROOMS,AS4 Basement 1
AS5-0202,AS5_L2_ROOMS,AS5 Level 2
AS5-0203,AS5_L2_ROOMS,AS5 Level 2
AS5-0205,AS5_L2_ROOMS,AS5 Level 2
AS5-0309,AS5_L3_ROOMS,AS5 Level 3
AS6-020607,AS6_L2_ROOMS,AS6 Level 2
AS6-0208,AS6_L2_ROOMS,AS6 Level 2
AS6-0209,AS6_L2_ROOMS,AS6 Level 2
AS6-0211,AS6_L2_ROOMS,AS6 Level 2
AS6-0212,AS6_L2_ROOMS,AS6 Level 2
AS6-0214,AS6_L2_ROOMS,AS6 Level 2
AS6-0333,AS6_L3_ROOMS,AS6 Level 3
AS6-0338,AS6_L3_ROOMS,AS6 Level 3
AS6-0421,AS6_L4_ROOMS,AS6 Level 4
AS6-0426,AS6_L4_ROOMS,AS6 Level 4
AS7-0101,AS7_L1_ROOMS,AS7 Level 1
AS7-0102,AS7_L1_ROOMS,AS7 Level 1
AS7-0106,AS7_L1_ROOMS,AS7 Level 1
AS7-0107,AS7_L1_ROOMS,AS7 Level 1
AS7-0119,AS7_L1_ROOMS,AS7 Level 1
AS7-0201,AS7_L2_ROOMS,AS7 Level 2
AS7-0201A,AS7_L2_ROOMS,AS7 Level 2
BIZ2-B104,BIZ2_B1_ROOMS,BIZ2 Basement 1
BIZ2-0111,BIZ2_L1_ROOMS,BIZ2 Level 1
BIZ2-0112,BIZ2_L1_ROOMS,BIZ2 Level 1
BIZ2-0114,BIZ2_L1_ROOMS,BIZ2 Level 1
BIZ2-0115,BIZ2_L1_ROOMS,BIZ2 Level 1
BIZ2-0116,BIZ2_L1_ROOMS,BIZ2 Level 1
BIZ2-0117,BIZ2_L1_ROOMS,BIZ2 Level 1
BIZ2-0118,BIZ2_L1_ROOMS,BIZ2 Level 1
BIZ2-0201,BIZ2_L2_ROOMS,BIZ2 Level 2
BIZ2-0202,BIZ2_L2_ROOMS,BIZ2 Level 2
BIZ2-0224,BIZ2_L2_ROOMS,BIZ2 Level 2
BIZ2-0226,BIZ2_L2_ROOMS,BIZ2 Level 2
BIZ2-0227,BIZ2_L2_ROOMS,BIZ2 Level 2
BIZ2-0228,BIZ2_L2_ROOMS,BIZ2 Level 2
BIZ2-0229,BIZ2_L2_ROOMS,BIZ2 Level 2
BIZ2-0301,BIZ2_L3_ROOMS,BIZ2 Level 3
